symbol,price
afrm,71
akam,97
alab,264
aehr,67
avav,140
be,165
bntx,100
cboe,240
cohr,260
crcl,80
crsp,45
ceg,285
dell,415
fcx,74
fsly,21.5
gdx,91
glw,142
googl,326
intc,86.5
ionq,33
labu,285
mrvi,7.3
mrvl,180
mu,825
net,315
now,120
ntra,308
pfe,27
simo,218
smh,514
sndk,1590
stx,768
tem,56
tem,60
tsla,335
ttmi,110
mrvi,7.25
